IDPedido,FechaPedido,FechaEnvío,ModoEnvío,ID_cliente,NombreCliente,Segmento,CodigoPostal,Ciudad,Estado,Pais,Region,Mercado,IDProducto,Categoria,Subcategoria,NombreProducto,Ventas,Cantidad,Descuento,Beneficio,CostoEnvio,PrioridadPedido
ES-2014-JG15160139-41660,41660,41663,Segunda clase,JG-15160139,James Galang,Consumidor,,Stockton-on-Tees,Inglaterra,Reino Unido,Europa Septentrional,Europa,FUR-TA-3344,Mobiliario,Mesas,"Barricks Conference Table, Fully Assembled",5451.3,6,0,2071.44,432.13,Medio
CA-2015-AH10075140-42301,42301,42302,Urgente,AH-100751406,Adam Hart,Empresarial,2920,Cranston,Rhode Island,Estados Unidos,Este de EE. UU.,USCA,FUR-TA-5421,Mobiliario,Mesas,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",637.9,3,0.3,-127.58,188.95,Crítica
IN-2015-AG1033059-42197,42197,42199,Segunda clase,AG-1033059,Alex Grayson,Consumidor,,Jambi,Jambi,Indonesia,Asia Sudoriental,Asia-Pacífico,OFF-AP-3574,Material de oficina,Artefactos,"Breville Refrigerator, Black",1722.28,4,0.17,539.44,430.04,Crítica
CA-2015-AH10075140-42301,42301,42302,Urgente,AH-100751406,Adam Hart,Empresarial,2920,Cranston,Rhode Island,Estados Unidos,Este de EE. UU.,USCA,FUR-FU-3936,Mobiliario,Mobiliario,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,210.68,2,0,50.56,79.52,Crítica
ES-2015-NF1847548-42248,42248,42248,Mismo día,NF-1847548,Neil Französisch,Oficina en casa,,Moers,Renania del Norte-Westfalia,Alemania,Europa Occidental,Europa,OFF-AP-3581,Material de oficina,Artefactos,"Breville Stove, White",1007.42,2,0.1,134.3,428.83,Crítica
CA-2015-AH10075140-42301,42301,42302,Urgente,AH-100751406,Adam Hart,Empresarial,2920,Cranston,Rhode Island,Estados Unidos,Este de EE. UU.,USCA,FUR-TA-4943,Mobiliario,Mesas,KI Adjustable-Height Table,240.74,4,0.3,-13.76,68.01,Crítica
IN-2012-DR129407-41066,41066,41070,Segunda clase,DR-129407,Daniel Raglin,Oficina en casa,,Townsville,Queensland,Australia,Oceanía,Asia-Pacífico,OFF-AP-4966,Material de oficina,Artefactos,"KitchenAid Stove, Silver",4624.29,9,0.1,1644.03,427.46,Medio
ES-2012-NB1865548-41194,41194,41194,Mismo día,NB-1865548,Nona Balk,Empresarial,,Hamburgo,Hamburgo,Alemania,Europa Occidental,Europa,OFF-ST-6049,Material de oficina,Almacenamiento,"Smead Lockers, Wire Frame",1066.45,6,0.1,-11.93,427.24,Crítica
IN-2014-NM1844527-41800,41800,41800,Mismo día,NM-1844527,Nathan Mautz,Oficina en casa,,Shenzhen,Guangdong,China,Asia Oriental,Asia-Pacífico,TEC-CO-5991,Tecnología,Copiadoras,"Sharp Copy Machine, High-Speed",957.6,4,0,0,427.1,Crítica
IN-2015-TA213857-42351,42351,42355,Clase estándar,TA-213857,Tom Ashbrook,Oficina en casa,,Launceston,Tasmania,Australia,Oceanía,Asia-Pacífico,OFF-AP-4508,Material de oficina,Artefactos,"Hamilton Beach Stove, White",4864.32,10,0.1,162.12,426.09,Medio
CA-2014-AH10075140-41898,41898,41903,Clase estándar,AH-100751406,Adam Hart,Empresarial,10011,New York City,Nueva York,Estados Unidos,Este de EE. UU.,USCA,OFF-BI-4338,Material de oficina,Archivadores,GBC DocuBind 300 Electric Binding Machine,841.57,2,0.2,294.55,57.49,Medio
ID-2015-SC20380102-42165,42165,42166,Urgente,SC-20380102,Shahid Collister,Consumidor,,Marikina,Capital Nacional,Filipinas,Asia Sudoriental,Asia-Pacífico,OFF-AP-3580,Material de oficina,Artefactos,"Breville Stove, Silver",1433.84,3,0.15,-84.37,424.81,Alto
SF-2012-PA9060117-40954,40954,40955,Urgente,PA-9060117,Pete Armstrong,Oficina en casa,,Johannesburg,Gauteng,Sudáfrica,África Meridional,África,OFF-ST-6047,Material de oficina,Almacenamiento,"Smead Lockers, Industrial",2784.6,14,0,779.52,422.25,Crítica
ES-2014-RB19570120-41971,41971,41977,Clase estándar,RB-19570120,Rob Beeghly,Consumidor,,Barakaldo,País Vasco,España,Europa Meridional,Europa,FUR-BO-5760,Mobiliario,Librerías,"Safco Classic Bookcase, Metal",3063.27,7,0,1470.21,419.38,Bajo
CA-2014-AH10075140-41817,41817,41817,Mismo día,AH-100751404,Adam Hart,Empresarial,90036,Los Angeles,California,Estados Unidos,Oeste de EE. UU.,USCA,OFF-SU-5635,Material de oficina,Material,Premier Electric Letter Opener,231.72,2,0,11.59,43.08,Crítica
CA-2015-AH10075140-42110,42110,42113,Urgente,AH-100751404,Adam Hart,Empresarial,89015,Henderson,Nevada,Estados Unidos,Oeste de EE. UU.,USCA,FUR-FU-4756,Mobiliario,Mobiliario,"Howard Miller 12"" Round Wall Clock",196.45,5,0,70.72,36.52,Medio
US-2012-LH1675036-41129,41129,41129,Mismo día,LH-1675036,Larry Hughes,Consumidor,,Santo Domingo,Santo Domingo,República Dominicana,Caribe,LATAM,TEC-PH-5839,Tecnología,Teléfonos,"Samsung Smart Phone, Cordless",2044.8,6,0.2,-332.28,417.99,Alto
CA-2014-AH10075140-41991,41991,41995,Clase estándar,AH-100751402,Adam Hart,Empresarial,76017,Arlington,Texas,Estados Unidos,Centro de EE. UU.,USCA,TEC-AC-6351,Tecnología,Accesorios,WD My Passport Ultra 1TB Portable External Hard Drive,165.6,3,0.2,-6.21,11.15,Medio
IN-2013-KB1658527-41488,41488,41490,Urgente,KB-1658527,Ken Black,Empresarial,,Qingdao,Shandong,China,Asia Oriental,Asia-Pacífico,TEC-CO-3608,Tecnología,Copiadoras,"Brother Wireless Fax, Color",1521,4,0,0,416.74,Alto
ES-2013-LH1715545-41444,41444,41444,Mismo día,LH-1715545,Logan Haushalter,Consumidor,,Le Bouscat,Aquitania-Lemosín-Poitou-Charentes,Francia,Europa Occidental,Europa,OFF-AP-4507,Material de oficina,Artefactos,"Hamilton Beach Stove, Silver",2443.91,5,0.1,760.31,416.33,Alto
CA-2015-AH1007523-42101,42101,42106,Clase estándar,AH-1007523,Adam Hart,Empresarial,,Oakville,Ontario,Canadá,Canadá,USCA,OFF-ST-4257,Material de oficina,Almacenamiento,"Fellowes File Cart, Blue",137.31,1,0,54.9,11.13,Alto
IR-2014-MZ751560-41853,41853,41853,Mismo día,MZ-751560,Mary Zewe,Empresarial,,Shiraz,Fars,Irán,Asia Meridional,Asia-Pacífico,TEC-MA-4210,Tecnología,Máquinas,"Epson Receipt Printer, Red",1141.8,10,0,570.9,415.01,Crítica
IN-2015-DM1334558-42146,42146,42149,Segunda clase,DM-1334558,Denise Monton,Empresarial,,Bokaro,Jharkhand,India,Asia Meridional,Asia-Pacífico,OFF-ST-4266,Material de oficina,Almacenamiento,"Fellowes Lockers, Blue",1865.97,9,0,802.17,413.95,Crítica
ID-2012-CA1196566-40949,40949,40954,Clase estándar,CA-1196566,Carol Adams,Empresarial,,Fuji,Shizuoka,Japón,Asia Oriental,Asia-Pacífico,TEC-PH-5841,Tecnología,Teléfonos,"Samsung Smart Phone, VoIP",6998.64,11,0,2939.31,413.8,Medio
ES-2014-SC20305120-41909,41909,41909,Mismo día,SC-20305120,Sean Christensen,Consumidor,,Benidorm,Valenciana,España,Europa Meridional,Europa,FUR-BO-3903,Mobiliario,Librerías,"Dania Library with Doors, Pine",1091.25,3,0,119.97,411.64,Crítica
IN-2015-MH1811558-42157,42157,42159,Urgente,MH-1811558,Mick Hernandez,Oficina en casa,,Kozhikode,Kerala,India,Asia Meridional,Asia-Pacífico,FUR-BO-4862,Mobiliario,Librerías,"Ikea Library with Doors, Pine",1094.22,3,0,328.23,411.06,Crítica
IN-2014-KS163007-41912,41912,41915,Urgente,KS-163007,Karen Seio,Empresarial,,Adelaide,Australia del Sur,Australia,Oceanía,Asia-Pacífico,FUR-BO-3640,Mobiliario,Librerías,"Bush Library with Doors, Mobile",1320.62,4,0.1,484.22,410.88,Crítica
IN-2012-BG1174078-41108,41108,41109,Urgente,BG-1174078,Bruce Geld,Consumidor,,Kuala Lumpur,Kuala Lumpur,Malasia,Asia Sudoriental,Asia-Pacífico,TEC-PH-5356,Tecnología,Teléfonos,"Nokia Smart Phone, with Caller ID",2555.64,4,0,664.44,410.22,Alto
RS-2015-CR2625108-42230,42230,42232,Segunda clase,CR-2625108,Corey Roper,Oficina en casa,,Astracán,Astracán,Rusia,Europa Oriental,Europa,FUR-BO-5950,Mobiliario,Librerías,"Sauder Classic Bookcase, Pine",3498.72,8,0,594.72,410.05,Medio
CA-2015-AH10075140-42301,42301,42302,Urgente,AH-100751406,Adam Hart,Empresarial,2920,Cranston,Rhode Island,Estados Unidos,Este de EE. UU.,USCA,FUR-FU-4022,Mobiliario,Mobiliario,"Eldon 400 Class Desk Accessories, Black Carbon",35,4,0,14.7,8.98,Crítica
IN-2015-DK1309027-42308,42308,42311,Urgente,DK-1309027,Dave Kipp,Consumidor,,Xiangtan,Hunan,China,Asia Oriental,Asia-Pacífico,TEC-CO-3611,Tecnología,Copiadoras,"Brother Wireless Fax, Laser",2272.86,6,0,977.22,406.53,Alto
IN-2014-JL1583527-41845,41845,41850,Clase estándar,JL-1583527,John Lee,Consumidor,,Shaoxing,Zhejiang,China,Asia Oriental,Asia-Pacífico,TEC-PH-3806,Tecnología,Teléfonos,"Cisco Smart Phone, Full Size",5211.12,8,0,833.76,404.97,Medio
IN-2015-AP1072058-42284,42284,42288,Clase estándar,AP-1072058,Anne Pryor,Oficina en casa,,Jabalpur,Madhya Pradesh,India,Asia Meridional,Asia-Pacífico,TEC-PH-5269,Tecnología,Teléfonos,"Motorola Smart Phone, with Caller ID",2582.16,4,0,361.44,404.08,Alto
IN-2015-CR1282058-42294,42294,42298,Clase estándar,CR-1282058,Cyra Reiten,Oficina en casa,,Patna,Bihar,India,Asia Meridional,Asia-Pacífico,TEC-PH-5356,Tecnología,Teléfonos,"Nokia Smart Phone, with Caller ID",3194.55,5,0,830.55,403.97,Alto
IN-2014-BF110807-41976,41976,41979,Segunda clase,BF-110807,Bart Folk,Consumidor,,Adelaide,Australia del Sur,Australia,Oceanía,Asia-Pacífico,FUR-CH-4531,Mobiliario,Sillas,"Harbour Creations Executive Leather Armchair, Black",1705,4,0.1,378.88,403.46,Crítica
IN-2015-JM15265102-42316,42316,42318,Urgente,JM-15265102,Janet Molinari,Empresarial,,Marikina,Capital Nacional,Filipinas,Asia Sudoriental,Asia-Pacífico,OFF-AP-3571,Material de oficina,Artefactos,"Breville Microwave, Red",1538.72,6,0.15,325.7,403.26,Alto
IN-2014-NM1844527-41800,41800,41800,Mismo día,NM-1844527,Nathan Mautz,Oficina en casa,,Shenzhen,Guangdong,China,Asia Oriental,Asia-Pacífico,FUR-CH-5378,Mobiliario,Sillas,"Novimex Executive Leather Armchair, Adjustable",1381.32,3,0,593.91,403.15,Crítica
IT-2012-TW2102545-41172,41172,41174,Segunda clase,TW-2102545,Tamara Willingham,Oficina en casa,,La Baule-Escoublac,Países del Loira,Francia,Europa Occidental,Europa,FUR-BO-5760,Mobiliario,Librerías,"Safco Classic Bookcase, Metal",1181.55,3,0.1,498.81,401.25,Crítica
IT-2012-RB1933045-41080,41080,41083,Urgente,RB-1933045,Randy Bradley,Consumidor,,Dijon,Borgoña-Franco Condado,Francia,Europa Occidental,Europa,FUR-CH-4530,Mobiliario,Sillas,"Harbour Creations Executive Leather Armchair, Adjustable",1696.25,4,0.1,734.93,401.13,Alto
CA-2015-AH10075140-42273,42273,42276,Urgente,AH-100751406,Adam Hart,Empresarial,19013,Chester,Pensilvania,Estados Unidos,Este de EE. UU.,USCA,OFF-SU-3839,Material de oficina,Material,Compact Automatic Electric Letter Opener,190.9,2,0.2,-42.95,8.72,Medio
CA-2015-AH10075140-42144,42144,42149,Segunda clase,AH-100751408,Adam Hart,Empresarial,37918,Knoxville,Tennessee,Estados Unidos,Sur de EE. UU.,USCA,FUR-CH-5429,Mobiliario,Sillas,Office Star - Mesh Screen back chair with Vinyl seat,314.35,3,0.2,-35.36,6.19,Medio
SF-2015-AB10060117-42334,42334,42337,Segunda clase,AB-10060117,Adam Bellavance,Oficina en casa,,Cape Town,Cabo Occidental,Sudáfrica,África Meridional,África,OFF-AP-4732,Material de oficina,Artefactos,"Hoover Microwave, Silver",1237.56,4,0,606.36,400.03,Crítica
EG-2013-JR567038-41363,41363,41365,Urgente,JR-567038,Jim Radford,Consumidor,,Cairo,El Cairo,Egipto,África Septentrional,África,TEC-PH-5355,Tecnología,Teléfonos,"Nokia Smart Phone, Full Size",1274.7,2,0,140.16,399.96,Crítica
MX-2012-MD1735028-41222,41222,41227,Segunda clase,MD-1735028,Maribeth Dona,Consumidor,,Medellín,Antioquía,Colombia,Sudamérica,LATAM,OFF-AP-4962,Material de oficina,Artefactos,"KitchenAid Refrigerator, Silver",3172.14,9,0,856.44,399.849,Medio
CA-2015-AH10075140-42301,42301,42302,Urgente,AH-100751406,Adam Hart,Empresarial,2920,Cranston,Rhode Island,Estados Unidos,Este de EE. UU.,USCA,OFF-PA-6415,Material de oficina,Papel,"Wirebound Message Book, 4 per Page",43.44,8,0,21.29,5.97,Crítica
ES-2013-EB13840139-41487,41487,41492,Segunda clase,EB-13840139,Ellis Ballard,Empresarial,,West Bromwich,Inglaterra,Reino Unido,Europa Septentrional,Europa,OFF-AP-4743,Material de oficina,Artefactos,"Hoover Stove, Red",3979.29,7,0,1989.54,398.5,Medio
CA-2014-AH10075140-41991,41991,41995,Clase estándar,AH-100751402,Adam Hart,Empresarial,76017,Arlington,Texas,Estados Unidos,Centro de EE. UU.,USCA,OFF-PA-6577,Material de oficina,Papel,Xerox 214,51.84,10,0.2,18.14,4.93,Medio
CA-2014-AH10075140-41817,41817,41817,Mismo día,AH-100751404,Adam Hart,Empresarial,90036,Los Angeles,California,Estados Unidos,Oeste de EE. UU.,USCA,OFF-FA-5459,Material de oficina,Grapas,OIC Binder Clips,17.9,5,0,8.95,4.89,Crítica
CA-2014-AH10075140-41817,41817,41817,Mismo día,AH-100751404,Adam Hart,Empresarial,90036,Los Angeles,California,Estados Unidos,Oeste de EE. UU.,USCA,OFF-PA-3115,Material de oficina,Papel,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",12.48,2,0,5.62,2.73,Crítica
AJ-2014-JL58359-41662,41662,41666,Clase estándar,JL-58359,John Lee,Consumidor,,Baku,Baki,Azerbaiyán,Asia Occidental,Asia-Pacífico,FUR-TA-3358,Mobiliario,Mesas,"Barricks Wood Table, Rectangular",2058,4,0,946.68,393.62,Alto
IN-2012-EP1391559-41049,41049,41053,Segunda clase,EP-1391559,Emily Phan,Consumidor,,Yakarta,Yakarta,Indonesia,Asia Sudoriental,Asia-Pacífico,FUR-BO-5967,Mobiliario,Librerías,"Sauder Library with Doors, Mobile",2539.88,7,0.07,709.94,393.58,Alto
ES-2015-MS17770139-42275,42275,42278,Urgente,MS-17770139,Maxwell Schwartz,Consumidor,,Burnley,Inglaterra,Reino Unido,Europa Septentrional,Europa,FUR-BO-3626,Mobiliario,Librerías,"Bush Classic Bookcase, Pine",2898.21,7,0,1420.02,393.46,Alto
IT-2012-CM1265545-41218,41218,41220,Urgente,CM-1265545,Corinna Mitchell,Oficina en casa,,Laval,Países del Loira,Francia,Europa Occidental,Europa,TEC-MA-5007,Tecnología,Máquinas,"Konica Inkjet, White",1320.01,5,0.15,357.16,390.2,Crítica
LH-2015-JC610575-42032,42032,42034,Segunda clase,JC-610575,Julie Creighton,Empresarial,,Vilna,Vilna,Lituania,Europa Septentrional,Europa,FUR-TA-3345,Mobiliario,Mesas,"Barricks Conference Table, Rectangular",2171.16,8,0.7,-2750.28,390.09,Alto
IN-2015-GB145307-42260,42260,42266,Clase estándar,GB-145307,George Bell,Empresarial,,Brisbane,Queensland,Australia,Oceanía,Asia-Pacífico,TEC-CO-4593,Tecnología,Copiadoras,"Hewlett Wireless Fax, Laser",4448.22,13,0.1,444.48,386.38,Medio
CA-2015-AH10075140-42335,42335,42339,Clase estándar,AH-100751408,Adam Hart,Empresarial,30318,Atlanta,Georgia,Estados Unidos,Sur de EE. UU.,USCA,OFF-AR-5327,Material de oficina,Arte,Newell 347,12.84,3,0,3.72,1.88,Medio
US-2012-JH161805-41264,41264,41266,Urgente,JH-161805,Justin Hirsh,Consumidor,,Buenos Aires,Buenos Aires,Argentina,Sudamérica,LATAM,TEC-PH-3149,Tecnología,Teléfonos,"Apple Smart Phone, with Caller ID",2300.62,9,0.4,38.2,386.003,Alto
EG-2014-MT807038-41675,41675,41677,Segunda clase,MT-807038,Michelle Tran,Oficina en casa,,Girga,Suhaj,Egipto,África Septentrional,África,FUR-BO-5951,Mobiliario,Librerías,"Sauder Classic Bookcase, Traditional",2615.94,6,0,1072.44,384.41,Crítica
IN-2012-AB1010558-41270,41270,41271,Urgente,AB-1010558,Adrian Barton,Consumidor,,Kochi,Kerala,India,Asia Meridional,Asia-Pacífico,TEC-CO-6010,Tecnología,Copiadoras,"Sharp Wireless Fax, Digital",1066.68,3,0,394.65,383.68,Crítica
CA-2015-AH10075140-42301,42301,42302,Urgente,AH-100751406,Adam Hart,Empresarial,2920,Cranston,Rhode Island,Estados Unidos,Este de EE. UU.,USCA,OFF-AP-4739,Material de oficina,Artefactos,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,2.22,1,0,0.67,1.64,Crítica
LT-2012-CV280572-41025,41025,41028,Urgente,CV-280572,Cynthia Voltz,Empresarial,,Maseru,Maseru,Lesoto,África Meridional,África,TEC-PH-5354,Tecnología,Teléfonos,"Nokia Smart Phone, Cordless",2544.6,4,0,814.2,383.01,Alto
IN-2012-NH1861092-41187,41187,41192,Clase estándar,NH-1861092,Nicole Hansen,Empresarial,,Wellington,Wellington,Nueva Zelanda,Oceanía,Asia-Pacífico,FUR-TA-4645,Mobiliario,Mesas,"Hon Conference Table, Adjustable Height",3694.68,4,0,886.68,382.77,Alto
ID-2014-HJ1487527-41875,41875,41877,Segunda clase,HJ-1487527,Heather Jas,Oficina en casa,,Luoyang,Henan,China,Asia Oriental,Asia-Pacífico,FUR-TA-5065,Mobiliario,Mesas,"Lesro Round Table, with Bottom Storage",2214.85,7,0.3,-221.57,382.1,Crítica
MX-2014-JL1517518-41903,41903,41906,Segunda clase,JL-1517518,James Lanier,Oficina en casa,,Feira de Santana,Bahía,Brasil,Sudamérica,LATAM,FUR-CH-5776,Mobiliario,Sillas,"SAFCO Executive Leather Armchair, Set of Two",1236.48,4,0,111.28,381.219,Crítica
MX-2015-MY1829593-42355,42355,42357,Urgente,MY-1829593,Muhammed Yedwab,Empresarial,,Matagalpa,Matagalpa,Nicaragua,Centroamérica,LATAM,OFF-AP-4505,Material de oficina,Artefactos,"Hamilton Beach Stove, Black",1805.9,5,0,126.4,381.14,Crítica
CA-2012-AH10075140-41228,41228,41234,Clase estándar,AH-100751404,Adam Hart,Empresarial,92646,Huntington Beach,California,Estados Unidos,Oeste de EE. UU.,USCA,OFF-LA-5591,Material de oficina,Etiquetas,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,5.22,2,0,2.4,1.51,Medio
CA-2013-AH10075140-41629,41629,41631,Segunda clase,AH-100751406,Adam Hart,Empresarial,43229,Columbus,Ohio,Estados Unidos,Este de EE. UU.,USCA,OFF-AR-5458,Material de oficina,Arte,"OIC #2 Pencils, Medium Soft",3.01,2,0.2,0.34,1.38,Alto
CA-2015-AH10075140-42273,42273,42276,Urgente,AH-100751406,Adam Hart,Empresarial,19013,Chester,Pensilvania,Estados Unidos,Este de EE. UU.,USCA,OFF-BI-3301,Material de oficina,Archivadores,Avery Metallic Poly Binders,8.6,5,0.7,-6.3,1.37,Medio
MX-2015-KC1654093-42158,42158,42162,Clase estándar,KC-1654093,Kelly Collister,Consumidor,,Managua,Managua,Nicaragua,Centroamérica,LATAM,OFF-AP-4507,Material de oficina,Artefactos,"Hamilton Beach Stove, Silver",1810.3,5,0,54.3,378.258,Alto
MX-2015-CS1246093-42259,42259,42261,Urgente,CS-1246093,Chuck Sachs,Consumidor,,Managua,Managua,Nicaragua,Centroamérica,LATAM,TEC-PH-5354,Tecnología,Teléfonos,"Nokia Smart Phone, Cordless",2120.5,5,0,106,377.704,Crítica
IN-2015-HA1492027-42111,42111,42111,Mismo día,HA-1492027,Helen Andreada,Consumidor,,Wuhai,Mongolia Interior,China,Asia Oriental,Asia-Pacífico,TEC-PH-3148,Tecnología,Teléfonos,"Apple Smart Phone, Full Size",1275,2,0,140.22,377.58,Crítica
ES-2013-MT1781545-41599,41599,41602,Segunda clase,MT-1781545,Meg Tillman,Consumidor,,Nantes,Países del Loira,Francia,Europa Occidental,Europa,TEC-MA-5017,Tecnología,Máquinas,"Konica Printer, Wireless",1593.65,7,0.15,-225.16,377.03,Crítica
ES-2015-FW1439545-42069,42069,42071,Urgente,FW-1439545,Fred Wasserman,Empresarial,,Strasbourg,Alsacia-Champaña-Ardenas-Lorena,Francia,Europa Occidental,Europa,FUR-BO-3627,Mobiliario,Librerías,"Bush Classic Bookcase, Traditional",1114.24,3,0.1,383.71,376.88,Crítica
ES-2013-BH1171048-41478,41478,41483,Clase estándar,BH-1171048,Brosina Hoffman,Consumidor,,Berlín,Berlín,Alemania,Europa Occidental,Europa,TEC-PH-3807,Tecnología,Teléfonos,"Cisco Smart Phone, with Caller ID",2944.08,5,0.1,1112.13,376.58,Alto
ID-2015-DK1289559-42315,42315,42317,Urgente,DK-1289559,Dana Kaydos,Consumidor,,Surabaya,Java Oriental,Indonesia,Asia Sudoriental,Asia-Pacífico,OFF-AP-4964,Material de oficina,Artefactos,"KitchenAid Stove, Black",3309.26,7,0.17,318.86,374.8,Alto
MX-2015-KD1627018-42330,42330,42332,Urgente,KD-1627018,Karen Daniels,Consumidor,,Tupã,São Paulo,Brasil,Sudamérica,LATAM,FUR-CH-4544,Mobiliario,Sillas,"Harbour Creations Rocking Chair, Adjustable",897.48,9,0,322.92,374.376,Crítica
ES-2012-SC208458-41070,41070,41073,Urgente,SC-208458,Sung Chung,Consumidor,,Viena,Viena,Austria,Europa Occidental,Europa,FUR-BO-4848,Mobiliario,Librerías,"Ikea Classic Bookcase, Metal",2056.05,5,0,390.6,372.5,Alto
MX-2013-CY1274582-41531,41531,41536,Clase estándar,CY-1274582,Craig Yedwab,Empresarial,,Mexico City,Distrito Federal,México,Centroamérica,LATAM,TEC-CO-6010,Tecnología,Copiadoras,"Sharp Wireless Fax, Digital",2365.66,10,0.002,18.86,372.318,Alto
IN-2012-HL150407-41237,41237,41237,Mismo día,HL-150407,Hunter Lopez,Consumidor,,Hobart,Tasmania,Australia,Oceanía,Asia-Pacífico,TEC-CO-3596,Tecnología,Copiadoras,"Brother Fax Machine, Digital",1336.36,7,0.4,44.44,371.74,Crítica
IN-2013-CT1199566-41496,41496,41498,Urgente,CT-1199566,Carol Triggs,Consumidor,,Hirakata,Osaka,Japón,Asia Oriental,Asia-Pacífico,TEC-CO-4591,Tecnología,Copiadoras,"Hewlett Wireless Fax, Digital",3038.64,8,0,1245.84,371.51,Alto
ES-2014-CC12370139-41718,41718,41721,Segunda clase,CC-12370139,Christopher Conant,Consumidor,,Preston,Inglaterra,Reino Unido,Europa Septentrional,Europa,OFF-AP-3573,Material de oficina,Artefactos,"Breville Microwave, White",2698.65,9,0,890.46,369.98,Alto
LT-2014-GR456072-42003,42003,42008,Clase estándar,GR-456072,Georgia Rosenberg,Empresarial,,Maseru,Maseru,Lesoto,África Meridional,África,TEC-CO-3688,Tecnología,Copiadoras,"Canon Fax Machine, High-Speed",3799.08,12,0,455.76,369.73,Medio
IN-2013-TT2107058-41551,41551,41556,Clase estándar,TT-2107058,Ted Trevino,Consumidor,,Agra,Uttar Pradesh,India,Asia Meridional,Asia-Pacífico,FUR-CH-4656,Mobiliario,Sillas,"Hon Executive Leather Armchair, Red",2756.34,6,0,413.28,369.4,Alto
IT-2013-PO19195120-41492,41492,41493,Urgente,PO-19195120,Phillina Ober,Oficina en casa,,Granollers,Cataluña,España,Europa Meridional,Europa,TEC-PH-3146,Tecnología,Teléfonos,"Apple Signal Booster, with Caller ID",983.88,8,0.1,-11.16,369.17,Crítica
IN-2013-ED13885144-41549,41549,41549,Mismo día,ED-13885144,Emily Ducich,Oficina en casa,,Ho Chi Minh City,Ciudad Ho Chi Minh,Vietnam,Asia Sudoriental,Asia-Pacífico,FUR-CH-4530,Mobiliario,Sillas,"Harbour Creations Executive Leather Armchair, Adjustable",1719.81,5,0.27,117.66,368.44,Alto
IN-2015-AP1091559-42089,42089,42092,Urgente,AP-1091559,Arthur Prichep,Consumidor,,Yakarta,Yakarta,Indonesia,Asia Sudoriental,Asia-Pacífico,OFF-AP-4966,Material de oficina,Artefactos,"KitchenAid Stove, Silver",1421.54,3,0.17,428.12,367.57,Crítica
MX-2015-TM2149031-42329,42329,42329,Mismo día,TM-2149031,Tony Molinari,Consumidor,,Camagüey,Camagüey,Cuba,Caribe,LATAM,TEC-CO-3597,Tecnología,Copiadoras,"Brother Fax Machine, High-Speed",1053.69,5,0.002,441.29,367.549,Alto
IT-2012-AW1084091-41242,41242,41243,Urgente,AW-1084091,Anthony Witt,Consumidor,,Amsterdam,Holanda Septentrional,Países Bajos,Europa Occidental,Europa,TEC-CO-4792,Tecnología,Copiadoras,"HP Wireless Fax, Laser",1440.84,8,0.5,-1268.04,367.35,Crítica
IN-2012-DP131057-41215,41215,41217,Segunda clase,DP-131057,Dave Poirier,Empresarial,,Gold Coast,Queensland,Australia,Oceanía,Asia-Pacífico,FUR-CH-4530,Mobiliario,Sillas,"Harbour Creations Executive Leather Armchair, Adjustable",2544.37,6,0.1,621.79,366.89,Crítica
CA-2015-AH10075140-42144,42144,42149,Segunda clase,AH-100751408,Adam Hart,Empresarial,37918,Knoxville,Tennessee,Estados Unidos,Sur de EE. UU.,USCA,OFF-PA-6504,Material de oficina,Papel,Xerox 1949,27.89,7,0.2,10.11,1.26,Medio
RO-2013-SG10605107-41614,41614,41614,Mismo día,SG-10605107,Speros Goranitis,Consumidor,,Piatra-Neamt,Neamt,Rumania,Europa Oriental,Europa,TEC-CO-4571,Tecnología,Copiadoras,"Hewlett Fax and Copier, Color",1554.48,8,0,341.76,366.58,Alto
MX-2014-BM1178582-41976,41976,41977,Urgente,BM-1178582,Bryan Mills,Consumidor,,Milpa Alta,Distrito Federal,México,Centroamérica,LATAM,TEC-PH-5839,Tecnología,Teléfonos,"Samsung Smart Phone, Cordless",1278,3,0,89.46,365.902,Alto
MX-2013-FH1436582-41628,41628,41632,Clase estándar,FH-1436582,Fred Hopkins,Empresarial,,Mexico City,Distrito Federal,México,Centroamérica,LATAM,TEC-PH-3806,Tecnología,Teléfonos,"Cisco Smart Phone, Full Size",3474.08,8,0,625.28,365.652,Alto
MX-2013-DK1337582-41530,41530,41532,Segunda clase,DK-1337582,Dennis Kane,Consumidor,,León,Guanajuato,México,Centroamérica,LATAM,TEC-PH-3148,Tecnología,Teléfonos,"Apple Smart Phone, Full Size",2550,6,0,357,365.2,Medio
CA-2015-AS10090140-42264,42264,42266,Urgente,AS-100901406,Adam Shillingsburg,Consumidor,19143,Philadelphia,Pensilvania,Estados Unidos,Este de EE. UU.,USCA,OFF-BI-4343,Material de oficina,Archivadores,GBC DocuBind TL300 Electric Binding System,538.19,2,0.7,-412.62,209.3,Crítica
